,LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD
119,/input/mobile_images/2024/2/23/749/ĐIỀU HOÀ CARRIER INVERTER 2 chiều 9000BTU 2023.png,609534,Điều hòa,019014000005,,,,,,,,,,,,Điều hòa Carrier 2 chiều Inverter Công suất: 9.000 BTU/h (1 HP) - Model 2023,"Loại: Điều hòa 2 chiều Inverter 
Công suất: 9.000 BTU/h (1 HP) 
Diện tích sử dụng: Dưới 15m² 
Mức tiêu thụ điện: Làm lạnh: 0.77 (0.24-1.00) kW/h Sưởi ấm: 0.86 (0.20-1.11) kW/h 
Hiệu suất năng lượng: Làm lạnh: 5.8 (A++) Sưởi ấm: 4.8 (A+) Gas: R32 Chế độ Inverter:
Có Chức năng: Làm lạnh nhanh Tự làm sạch Lọc bụi mịn PM2.5 Khử mùi Chế độ gió Coanda Hẹn giờ Điều khiển từ xa 
Độ ồn: Dàn lạnh: 22/19 dB(A) Dàn nóng: 52/48 dB(A) 
Kích thước: Dàn lạnh: 293 x 798 x 230 mm Dàn nóng: 530 x 660 x 240 mm 
Trọng lượng: Dàn lạnh: 9 kg Dàn nóng: 23 kg
giá: 12461240",12461240,6
118,/input/mobile_images/2024/2/21/229/Điều hòa MDVG-1Inverter 9000 BTU (3).png,606038,Điều hòa,019013000001,,,,,,,,,,,,Điều hòa MDV - Inverter 9000 BTU,"Nguồn điện: 220-240V 
Công suất: 9500 Btu/h 
Công suất tiêu thụ: 745 W 
Cường độ dòng điện: 3.4 A
 ERR: 3.54 W/W 
Inverter : Có Kích thước máy trong ( DxRxC): 726x210x291 (mm) 
Khối lượng thực máy trong/ khối lượng đóng gói: 8.2/10.3 Kg 
Kích thước máy ngoài (DxRxC): 835x300x540 (mm) 
Khối lương thực máy ngoài / khối lượng đóng gói: 21.7/23.2 kg 
Loại gas/ khối lượng nạp: R32/0.38 
Áp suất thiết kế: 4.3/1.7 Mpa 
Chiều dài đường ống tối đa: 25m 
Chênh lệch độ cao tối đa: 10m Phạm vi lành lạnh hiệu quả : 12~18 m2 
Hiệu suất năng lượng : 4.48 CSPF 
Bảo hành 3 năm cho sản phẩm 
Bảo hành 5 năm cho máy nén 
Suất xứ : Thái lan
giá: 6014184",6014184,5
117,/input/mobile_images/2024/2/23/380/Máy Giặt Aqua 9 Kg  AQW-F91GT.S.png,609541,Điều hòa,019013000004,,,,,,,,,,,,Điều hòa MDV 1 chiều 12000 BTU - Model 2023,"Model: MDVG-13CRDN8 
Công suất: 12.000 BTU/h
 Loại: 1 chiều Inverter
 Diện tích sử dụng: 15 - 20m² 
Gas: R32
Mức tiêu thụ điện: 1.15 kW/h 
Độ ồn: 22/19 dB(A) 
Kích thước dàn lạnh: 810 x 285 x 210 mm 
Kích thước dàn nóng: 770 x 285 x 540 mm 
Trọng lượng dàn lạnh: 14 kg 
Trọng lượng dàn nóng: 25 kg
giá: 7246030",7246030,6
116,/input/mobile_images/2024/2/23/949/ĐIỀU HOÀ CARRIER INVERTER 1 chiều 9000 BTU 2023.png,609530,Điều hòa,019014000001,,,,,,,,,,,,Điều hòa 1 chiều Carrier Inverter 9000 BTU/h (1 HP) - Model 2023,"Loại: Điều hòa 1 chiều Inverter 
Công suất: 9.000 BTU/h (1 HP) 
Diện tích sử dụng: Dưới 15m² Mức tiêu thụ điện: Làm lạnh: 1.15 kW/h Sưởi ấm: 
Hiệu suất năng lượng: 5.8 (A++) Gas: R32 Chế độ Inverter: 
Có Chức năng: Làm lạnh nhanh Tự làm sạch Lọc bụi mịn PM2.5 Khử mùi Chế độ gió Coanda Hẹn giờ Điều khiển từ xa 
Độ ồn: Dàn lạnh: 22/19 dB(A) Dàn nóng: 52/48 dB(A) 
Kích thước: Dàn lạnh: 800 x 295 x 200 mm Dàn nóng: 770 x 285 x 540 mm 
Trọng lượng: Dàn lạnh: 12 kg Dàn nóng: 25 kg
giá: 9423040",9423040,6
114,/input/mobile_images/2024/2/23/367/Máy Giặt Aqua 9 Kg  AQW-F91GT.S (2).png,609542,Điều hòa,019013000003,,,,,,,,,,,,Điều hòa MDV 1 chiều Inverter 18000 BTU - Model 2023,"Model: MDVG-18CRDN8 
Công suất: 18.000 BTU/h 
Loại: 1 chiều Inverter 
Diện tích sử dụng: 20 - 30m² 
Gas: R32 
Mức tiêu thụ điện: 1.65 kW/h 
Độ ồn: 22/19 dB(A) 
Kích thước dàn lạnh: 969 x 320 x 241 mm 
Kích thước dàn nóng: 770 x 285 x 540 mm 
Trọng lượng dàn lạnh: 18 kg 
Trọng lượng dàn nóng: 28 kg
giá: 11740520",11740520,5
113,/input/mobile_images/2024/2/23/248/Máy Giặt Aqua 9 Kg  AQW-F91GT.S.png,609538,Điều hòa,019001000013,,,,,,,,,,,,Điều hòa Daikin 9000BTU 2 chiều Inverter - Dòng tiêu chuẩn - SeriesFTHF-VA -Model 2023,"Loại: Điều hòa 2 chiều Inverter
Công suất: 9.000 BTU/h (1 HP) 
Diện tích sử dụng: 15 - 20m² 
Mức tiêu thụ điện: Làm lạnh: 555 (230 - 1.250) W/h Sưởi ấm: 670 (190 - 1.530) W/h 
Hiệu suất năng lượng: Làm lạnh: 6.13 (A**) Sưởi ấm: 5.14 (A) Gas: R32 Chế độ Inverter: 
Có Công nghệ: Công nghệ inverter tiết kiệm điện Công nghệ luồng gió Coanda Mắt thần thông minh Phin lọc Apatit Titan Chế độ Powerful làm lạnh nhanh Chế độ vận hành khi ngủ Chức năng: Làm lạnh nhanh Sưởi ấm Lọc bụi mịn PM2.5 Khử mùi Hẹn giờ Điều khiển từ xa 
Độ ồn: Dàn lạnh: 28/25 dB(A) Dàn nóng: 49 dB(A) 
Kích thước: Dàn lạnh: 285 x 770 x 223 mm Dàn nóng: 540 x 670 x 240 mm 
Trọng lượng: Dàn lạnh: 12 kg Dàn nóng: 24 kg
giá: 12070850",12070850,5
115,/input/mobile_images/2024/2/23/846/ĐIỀU HOÀ CARRIER INVERTER 1 chiều 12000 BTU 2023 (2).png,609531,Điều hòa,019014000002,,,,,,,,,,,,Điều hòa Carrier 1 chiều Inverter 12.000 BTU/h (1.5 HP) - Model 2023,"Loại: Điều hòa 1 chiều Inverter 
Công suất: 12.000 BTU/h (1.5 HP) 
Diện tích sử dụng: 15 - 20m² Mức tiêu thụ điện: Làm lạnh: 1.20 kW/h Sưởi ấm: 
Hiệu suất năng lượng: 5.8 (A++) Gas: R32 Chế độ Inverter: 
Có Chức năng: Làm lạnh nhanh Tự làm sạch Lọc bụi mịn PM2.5 Khử mùi Chế độ gió Coanda Hẹn giờ Điều khiển từ xa 
Độ ồn: Dàn lạnh: 22/19 dB(A) Dàn nóng: 52/48 dB(A) 
Kích thước: Dàn lạnh: 840 x 295 x 200 mm Dàn nóng: 770 x 285 x 540 mm 
Trọng lượng: Dàn lạnh: 13 kg Dàn nóng: 25 kg
giá: 11200420",11200420,5
111,/input/mobile_images/2024/2/23/922/Máy Giặt Aqua 9 Kg  AQW-F91GT.S (1).png,609539,Điều hòa,019001000014,,,,,,,,,,,,Điều hòa Daikin 12000BTU 2 chiều Inverter - Dòng tiêu chuẩn - FTHF-VA - Model 2023,"Loại: Điều hòa 2 chiều Inverter 
Công suất: 12.000 BTU/h (1.5 HP) 
Diện tích sử dụng: 20 - 30m² 
Mức tiêu thụ điện: Làm lạnh: 585 (230 - 1.310) W/h Sưởi ấm: 700 (190 - 1.600) W/h 
Hiệu suất năng lượng: Làm lạnh: 6.11 (A**) Sưởi ấm: 5.08 (A) Gas: R32 Chế độ Inverter: 
Có Công nghệ: Công nghệ inverter tiết kiệm điện Công nghệ luồng gió Coanda Mắt thần thông minh Phin lọc Apatit Titan Chế độ Powerful làm lạnh nhanh Chế độ vận hành khi ngủ Chức năng: Làm lạnh nhanh Sưởi ấm Lọc bụi mịn PM2.5 Khử mùi Hẹn giờ Điều khiển từ xa 
Độ ồn: Dàn lạnh: 28/25 dB(A) Dàn nóng: 49 dB(A) 
Kích thước: Dàn lạnh: 285 x 770 x 223 mm Dàn nóng: 540 x 670 x 240 mm 
Trọng lượng: Dàn lạnh: 13 kg Dàn nóng: 26 kg
giá: 14851100",14851100,7
110,/input/mobile_images/2024/2/23/866/ĐIỀU HOÀ CARRIER INVERTER 2 chiều 12000BTU 2023.png,609535,Điều hòa,019014000006,,,,,,,,,,,,Điều hòa Carrier 2 chiều Inverter - Công suất: 12.000 BTU/h (1.5 HP) - Model 2023,"Loại: Điều hòa 2 chiều Inverter 
Công suất: 12.000 BTU/h (1.5 HP) 
Diện tích sử dụng: 15 - 20m² 
Mức tiêu thụ điện: Làm lạnh: 0.83 (0.24-1.12) kW/h Sưởi ấm: 0.94 (0.22-1.22) kW/h 
Hiệu suất năng lượng: Làm lạnh: 5.8 (A++) Sưởi ấm: 4.8 (A+) Gas: R32 Chế độ Inverter: 
Có Chức năng: Làm lạnh nhanh Tự làm sạch Lọc bụi mịn PM2.5 Khử mùi Chế độ gió Coanda Hẹn giờ Điều khiển từ xa 
Độ ồn: Dàn lạnh: 22/19 dB(A) Dàn nóng: 52/48 dB(A) 
Kích thước: Dàn lạnh: 293 x 798 x 230 mm Dàn nóng: 530 x 660 x 240 mm 
Trọng lượng: Dàn lạnh: 10 kg Dàn nóng: 25 kg
giá: 14917980",14917980,5
109,/input/mobile_images/2024/2/23/301/ĐIỀU HOÀ CARRIER INVERTER 1 chiều 24000 BTU 2023.png,609533,Điều hòa,019014000004,,,,,,,,,,,, Điều hòa Carrier 1 chiều Inverter Công suất: 24.000 BTU/h (2.5 HP) - Model 2023,"Loại: Điều hòa 1 chiều Inverter
Công suất: 24.000 BTU/h (2.5 HP)
Diện tích sử dụng: 30 - 40m²
Mức tiêu thụ điện: Làm lạnh: 2.00 (0.28-2.30) kW/h Sưởi ấm: 
Hiệu suất năng lượng: 5.8 (A++) Gas: R32 Chế độ Inverter: 
Có Chức năng: Làm lạnh nhanh Tự làm sạch Lọc bụi mịn PM2.5 Khử mùi Chế độ gió Coanda Hẹn giờ Điều khiển từ xa
Độ ồn: Dàn lạnh: 22/19 dB(A) Dàn nóng: 52/48 dB(A)
Kích thước: Dàn lạnh: 1050 x 320 x 250 mm Dàn nóng: 770 x 285 x 540 mm
Trọng lượng: Dàn lạnh: 14 kg Dàn nóng: 33 kg
giá: 20327450",20327450,5
